PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK,DRAFT_TYPE,TEAM_ID_x,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION_x,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG,Draft Year,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID_y,TEAM_ABBREVIATION_y,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Unique_Teams_Played_For,Traded_Status,Custom_BPM
1629639,Tyler Herro,2019,1,13,13,Draft,1610612748,Miami,Heat,MIA,Kentucky,College/University,1,2019,1629639,2021-22,0,1610612748,MIA,22.0,66,10.0,2151.0,501,1122,0.447,175.0,439.0,0.399,190,219,0.868,32.0,297.0,329.0,263,44.0,8.0,174.0,95,1367,1,Not Traded,23.112287878787875
1630170,Devin Vassell,2020,1,11,11,Draft,1610612759,San Antonio,Spurs,SAS,Florida State,College/University,1,2020,1630170,2022-23,0,1610612759,SAS,22.0,38,32.0,1178.0,261,595,0.439,103.0,266.0,0.387,78,100,0.78,8.0,140.0,148.0,136,43.0,17.0,57.0,57,703,1,Not Traded,22.026815789473684
1630170,Devin Vassell,2020,1,11,11,Draft,1610612759,San Antonio,Spurs,SAS,Florida State,College/University,1,2020,1630170,2021-22,0,1610612759,SAS,21.0,71,32.0,1937.0,326,764,0.427,137.0,380.0,0.361,83,99,0.838,44.0,262.0,306.0,136,76.0,41.0,58.0,143,872,1,Not Traded,16.688140845070418
1630170,Devin Vassell,2020,1,11,11,Draft,1610612759,San Antonio,Spurs,SAS,Florida State,College/University,1,2020,1630170,2020-21,0,1610612759,SAS,20.0,62,7.0,1056.0,123,303,0.406,52.0,150.0,0.347,43,51,0.843,24.0,150.0,174.0,56,43.0,18.0,22.0,88,341,1,Not Traded,8.532080645161289
1630168,Onyeka Okongwu,2020,1,6,6,Draft,1610612737,Atlanta,Hawks,ATL,Southern California,College/University,1,2020,1630168,2024-25,0,1610612737,ATL,24.0,67,33.0,1824.0,347,608,0.571,40.0,122.0,0.328,141,187,0.754,201.0,385.0,586.0,151,62.0,63.0,74.0,170,875,1,Not Traded,21.803477611940295
1630168,Onyeka Okongwu,2020,1,6,6,Draft,1610612737,Atlanta,Hawks,ATL,Southern California,College/University,1,2020,1630168,2023-24,0,1610612737,ATL,23.0,55,8.0,1405.0,223,365,0.611,23.0,69.0,0.333,92,116,0.793,145.0,231.0,376.0,74,26.0,60.0,45.0,162,561,1,Not Traded,16.613818181818182
1630168,Onyeka Okongwu,2020,1,6,6,Draft,1610612737,Atlanta,Hawks,ATL,Southern California,College/University,1,2020,1630168,2022-23,0,1610612737,ATL,22.0,80,18.0,1849.0,317,497,0.638,4.0,13.0,0.308,153,196,0.781,217.0,359.0,576.0,81,56.0,107.0,81.0,251,791,1,Not Traded,16.89615
1630168,Onyeka Okongwu,2020,1,6,6,Draft,1610612737,Atlanta,Hawks,ATL,Southern California,College/University,1,2020,1630168,2021-22,0,1610612737,ATL,21.0,48,6.0,992.0,156,226,0.69,0.0,0.0,0.0,80,110,0.727,115.0,168.0,283.0,53,31.0,60.0,44.0,149,392,1,Not Traded,14.079583333333332
1630168,Onyeka Okongwu,2020,1,6,6,Draft,1610612737,Atlanta,Hawks,ATL,Southern California,College/University,1,2020,1630168,2020-21,0,1610612737,ATL,20.0,50,4.0,601.0,96,149,0.644,0.0,3.0,0.0,36,57,0.632,62.0,101.0,163.0,18,23.0,33.0,29.0,100,228,1,Not Traded,7.60284
1630171,Isaac Okoro,2020,1,5,5,Draft,1610612739,Cleveland,Cavaliers,CLE,Auburn,College/University,1,2020,1630171,2024-25,0,1610612739,CLE,24.0,49,21.0,914.0,101,223,0.453,49.0,131.0,0.374,32,45,0.711,41.0,65.0,106.0,62,27.0,16.0,21.0,93,283,1,Not Traded,7.94204081632653
